,GBP,HKD,IDR,ILS,DKK,INR,CHF,MXN,CZK,SGD,THB,HRK,EUR,MYR,NOK,CNY,BGN,PHP,PLN,ZAR,CAD,ISK,BRL,RON,NZD,TRY,JPY,RUB,KRW,USD,AUD,HUF,SEK
2020-03-25,0.8451371571,7.7529324836,16114.9995381916,3.6400665004,6.897755611,76.3821926665,0.9792186201,24.5408700471,25.3495889905,1.4455527847,32.78008682,7.0271543364,0.9236168837,4.3865336658,10.8751269973,7.0974415812,1.8064099012,51.0298328253,4.2317354761,17.4081463009,1.4352082756,140.2974046366,5.0740740741,4.4745543549,1.7067516394,6.4350235522,111.4528493581,78.3240971645,1232.8622887226,1.0,1.6618638589,327.8562852129,10.1263507897
2020-03-24,0.8493959236,7.7550493406,16325.002305635,3.6317439823,6.8863783086,75.9549940053,0.9750069169,24.8364843678,25.6460389191,1.4472009591,32.7704509822,7.0200129116,0.9222539887,4.4305081619,11.0435303883,7.0597620585,1.8037443512,51.0698146269,4.2558332565,17.592363737,1.4494143687,139.9059300931,5.0830950844,4.4597436134,1.7224015494,6.4659227151,110.6612561099,78.5355528913,1241.9533339482,1.0,1.6891081804,325.6202158074,10.2266900304
2020-03-23,0.862190485,7.7558193453,16574.9976815358,3.6698506909,6.9281276083,76.1620142817,0.982101456,24.6805156264,25.6283038116,1.4601687842,32.8646944264,7.053695632,0.9273856997,4.4449596587,11.3667810442,7.0838356673,1.8137809515,51.4003524066,4.2711675786,17.6333116943,1.4383752203,140.4989335064,5.0683483261,4.4960586108,1.7563757767,6.5859222851,110.4609106928,79.8293610313,1256.7003616804,1.0,1.7236390615,326.7458035797,10.2675507744
2020-03-22,0.8501727842,7.7571682077,15925.0023349211,3.612870085,6.9759036145,75.1517698702,0.9849631082,23.9902867283,25.3955356309,1.449052022,32.549733819,7.1073129728,0.9339684319,4.3945082656,11.3210983469,7.0905949379,1.826655459,51.2701970673,4.232277949,17.2902773886,1.4249556365,140.7490426824,5.037545531,4.5302138788,1.7298029327,6.5196600355,110.5538432801,79.4842626319,1247.4455963388,1.0,1.7022508639,327.7388624264,10.3295040628
2020-03-21,0.8501727842,7.7571682077,15925.0023349211,3.612870085,6.9759036145,75.1517698702,0.9849631082,23.9902867283,25.3955356309,1.449052022,32.549733819,7.1073129728,0.9339684319,4.3945082656,11.3210983469,7.0905949379,1.826655459,51.2701970673,4.232277949,17.2902773886,1.4249556365,140.7490426824,5.037545531,4.5302138788,1.7298029327,6.5196600355,110.5538432801,79.4842626319,1247.4455963388,1.0,1.7022508639,327.7388624264,10.3295040628
2020-03-20,0.8501727842,7.7571682077,15925.0023349211,3.612870085,6.9759036145,75.1517698702,0.9849631082,23.9902867283,25.3955356309,1.449052022,32.549733819,7.1073129728,0.9339684319,4.3945082656,11.3210983469,7.0905949379,1.826655459,51.2701970673,4.232277949,17.2902773886,1.4249556365,140.7490426824,5.037545531,4.5302138788,1.7298029327,6.5196600355,110.5538432801,79.4842626319,1247.4455963388,1.0,1.7022508639,327.7388624264,10.3295040628
2020-03-19,0.86089251,7.7630774928,15912.4988426997,3.685029164,6.9188963985,75.1226738265,0.9753726507,24.3454309786,25.5587445607,1.4482918248,32.4747708546,7.0437922415,0.9258402,4.4149615776,11.4031108231,7.1149893528,1.8107582631,51.4702342376,4.222201648,17.2946949357,1.4464401444,140.9128784372,5.1881307286,4.4852328488,1.75011573,6.5387464124,109.8324229238,80.4875474493,1262.9756504027,1.0,1.7253032127,329.6546616054,10.3252476623
2020-03-18,0.8431498079,7.7663252241,15449.5518565941,3.8095847814,6.8348271447,74.2047740991,0.9645143589,23.9632339491,24.8344613133,1.4413755259,32.4199743918,6.9448509237,0.9145783794,4.3710444485,10.701481617,7.0353941833,1.7887323944,51.6197183099,4.1165172855,16.9767697092,1.4403694897,139.6561185294,5.1338028169,4.431132248,1.712730931,6.446954454,107.7190415219,79.6560270715,1260.106091092,1.0,1.6981891348,321.364550942,10.0807572709
2020-03-17,0.8270169368,7.7648879985,15190.0018211619,3.8618648698,6.8049535604,74.2733564014,0.961664542,22.8092332908,24.5720269532,1.4287925697,32.2901110909,6.9042979421,0.9105809506,4.3504826079,10.4774175924,7.020123839,1.7809142233,51.5051903114,4.0637406665,16.5987980331,1.4124931706,140.5936987798,5.0336914952,4.4088508468,1.6772901111,6.4911673648,106.993261701,74.9826989619,1243.1342196321,1.0,1.6651793844,316.0080131124,9.9793298124
2020-03-16,0.8148964775,7.7692928207,15018.5533745631,3.746078695,6.6981267366,74.2202204894,0.9452361746,22.8088195752,24.1642018464,1.4222461235,32.2102715784,6.7925965761,0.8962982881,4.310477727,10.286367303,7.0225867169,1.7529801918,51.64918885,3.9499865555,16.6354754862,1.3927579098,135.5203011562,4.9637895492,4.332974814,1.6580622031,6.4146275881,105.5480864032,74.9220220489,1230.9222909384,1.0,1.6310836246,309.1960204356,9.7694720803
2020-03-15,0.8021433718,7.7679214697,14770.0018011527,3.6803854467,6.7301873199,73.7360410663,0.9553314121,21.4188580692,23.4528097983,1.4124639769,31.7399135447,6.8110590778,0.9005763689,4.2784582133,9.9933357349,6.9873018732,1.7613472622,50.8402377522,3.9238112392,16.1414805476,1.3858969741,135.0864553314,4.6867795389,4.3419488473,1.6318443804,6.2905259366,107.2676512968,72.7111851585,1208.015129683,1.0,1.5925792507,305.1873198847,9.7670208934
2020-03-14,0.8021433718,7.7679214697,14770.0018011527,3.6803854467,6.7301873199,73.7360410663,0.9553314121,21.4188580692,23.4528097983,1.4124639769,31.7399135447,6.8110590778,0.9005763689,4.2784582133,9.9933357349,6.9873018732,1.7613472622,50.8402377522,3.9238112392,16.1414805476,1.3858969741,135.0864553314,4.6867795389,4.3419488473,1.6318443804,6.2905259366,107.2676512968,72.7111851585,1208.015129683,1.0,1.5925792507,305.1873198847,9.7670208934
2020-03-13,0.8021433718,7.7679214697,14770.0018011527,3.6803854467,6.7301873199,73.7360410663,0.9553314121,21.4188580692,23.4528097983,1.4124639769,31.7399135447,6.8110590778,0.9005763689,4.2784582133,9.9933357349,6.9873018732,1.7613472622,50.8402377522,3.9238112392,16.1414805476,1.3858969741,135.0864553314,4.6867795389,4.3419488473,1.6318443804,6.2905259366,107.2676512968,72.7111851585,1208.015129683,1.0,1.5925792507,305.1873198847,9.7670208934
2020-03-12,0.7884608541,7.7816725979,14620.9964412811,3.6395907473,6.6483096085,74.2597864769,0.9385231317,22.0665480427,23.3122775801,1.4038256228,31.6601423488,6.7615658363,0.8896797153,4.265480427,10.1140569395,7.0175266904,1.7400355872,51.2855871886,3.8789145907,16.4098754448,1.38113879,132.2419928826,4.9004448399,4.2894128114,1.6168149466,6.2598754448,103.9501779359,74.7583629893,1209.4306049822,1.0,1.5724199288,301.0409252669,9.6926156584
2020-03-11,0.7735532816,7.7691425547,14352.4964714185,3.5564573042,6.5919195483,73.6781051517,0.9342801694,21.0854798871,22.7328863797,1.3885850388,31.390261115,6.6818101623,0.8821453776,4.2344742414,9.5763937897,6.9513937897,1.7252999294,50.6201482004,3.8091037403,16.0638673253,1.3742942837,128.5285815102,4.6642554693,4.2530875088,1.5835391673,6.1958362738,104.5783345095,71.7876676076,1189.1937191249,1.0,1.533962597,295.9244883557,9.4599505999
